Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
0,29,235,2.0,390,25000,25390,78.89,98.0952380952381,99.04761904761905,105,82.63,93.61702127659575,43.40425531914894
0,30,195,0.5,112,25000,25112,78.89,100.0,100.0,97,82.47,93.84615384615384,67.6923076923077
0,30,195,1.0,225,25000,25225,78.89,98.96907216494846,100.0,97,81.38,93.84615384615384,66.66666666666667
0,30,195,2.0,450,25000,25450,78.89,100.0,100.0,97,80.84,93.84615384615384,38.97435897435897
0,31,141,0.5,204,25000,25204,78.89,76.0,73.33333333333333,150,82.24,97.16312056737588,49.645390070921984
0,31,141,1.0,409,25000,25409,78.89,82.66666666666667,73.33333333333333,150,79.42,97.16312056737588,26.95035460992908
0,31,141,2.0,818,25000,25818,78.89,81.33333333333333,73.33333333333333,150,81.55,97.16312056737588,15.602836879432624
0,32,57,0.5,142,25000,25142,78.89,79.24528301886792,83.01886792452831,106,80.03,89.47368421052632,38.59649122807018
0,32,57,1.0,285,25000,25285,78.89,65.09433962264151,83.01886792452831,106,75.93,89.47368421052632,22.80701754385965
0,32,57,2.0,570,25000,25570,78.89,72.64150943396227,83.01886792452831,106,80.48,89.47368421052632,12.280701754385966
0,33,210,0.5,43,25000,25043,78.89,79.62962962962963,87.03703703703704,54,80.06,94.28571428571429,73.33333333333333
0,33,210,1.0,86,25000,25086,78.89,64.81481481481481,87.03703703703704,54,79.03,94.28571428571429,72.85714285714286
0,33,210,2.0,172,25000,25172,78.89,90.74074074074075,87.03703703703704,54,78.67,94.28571428571429,63.333333333333336
0,34,249,0.5,121,25000,25121,78.89,99.15966386554622,100.0,119,80.56,92.36947791164658,69.47791164658635
0,34,249,1.0,243,25000,25243,78.89,100.0,100.0,119,78.71,92.36947791164658,51.80722891566265
0,34,249,2.0,486,25000,25486,78.89,94.95798319327731,100.0,119,74.64,92.36947791164658,37.75100401606426
0,35,228,0.5,172,25000,25172,78.89,97.03703703703704,96.29629629629629,135,81.25,94.29824561403508,64.91228070175438
0,35,228,1.0,345,25000,25345,78.89,94.81481481481481,96.29629629629629,135,80.48,94.29824561403508,50.0
0,35,228,2.0,690,25000,25690,78.89,96.29629629629629,96.29629629629629,135,80.61,94.29824561403508,30.263157894736842
0,36,340,0.5,46,25000,25046,78.89,70.4225352112676,71.83098591549296,71,81.63,94.70588235294117,78.82352941176471
