Model,Cluster index,Cluster count,Poison rate,Number of poisoned samples,Original dataset size,Poisoned dataset size,Clean Model Accuracy,"Poisoned Model, Clean Subpopulation accuracy (target)","Clean Model, Clean Subpopulation accuracy (subpop baseline)",Number of samples tested on poisoned model,"Poisoned Model, Clean Test Data accuracy (collateral)","Clean Model, Poison Data accuracy","Poisoned Model, Poison Data accuracy"
5,30,197,2,450,25000,25450,78.89,100,100,97,81.56,92.89340101522842,39.59390862944162
5,31,340,0.5,204,25000,25204,78.89,81.33333333333333,73.33333333333333,150,80.59,94.11764705882354,67.64705882
5,31,340,1,409,25000,25409,78.89,83.33333333333333,73.33333333333333,150,75.88,94.11764705882354,46.76470588235294
5,31,340,2,818,25000,25818,78.89,71.33333333333333,73.33333333333333,150,81.62,94.11764705882354,32.35294117647059
5,32,248,0.5,142,25000,25142,78.89,76.41509433962264,83.01886792452831,106,80.41,93.95161290322581,75.40322580645162
5,32,248,1,285,25000,25285,78.89,82.0754717,83.01886792452831,106,80.71,93.95161290322581,67.74193548387096
5,32,248,2,570,25000,25570,78.89,71.69811320754717,83.01886792452831,106,79.91,93.95161290322581,41.935483870967744
5,33,199,0.5,43,25000,25043,78.89,77.77777777777777,87.03703703703704,54,81.99,96.98492462311557,76.38190954773869
5,33,199,1,86,25000,25086,78.89,79.62962962962963,87.03703703703704,54,82.18,96.98492462311557,73.86934673366834
5,33,199,2,172,25000,25172,78.89,85.18518518518519,87.03703703703704,54,80.05,96.98492462311557,54.27135678
5,34,263,0.5,121,25000,25121,78.89,100,100,119,81.5,95.05703422053232,78.70722433460077
5,34,263,1,243,25000,25243,78.89,100,100,119,79.25,95.05703422053232,59.31558935361217
